First Name,Last Name,Gender,Date of Birth,Country,City,Height,Email,Phone Number,Undergraduate College,Degree,Income,Current Company,Designation,Marital Status,Languages Known,Siblings,Religion,Caste,Want Kids,Open to Relocate,Open to Pets,Manglik Status (Indian Context),Horoscope Matching Required (Indian Context),Dietary Preference (Indian Context),Family Type (Indian Context)
Siddharth,Mishra,Male,2002-08-28,India,Jaipur,6ft 5in,siddharth.mishra14@gmail.com,+91 90232 18968,Anna University,BCA,₹20 LPA,Wipro,Operations Manager,Divorced,"English, Bengali, Urdu",2,Hinduism,Brahmin,No,Yes,No,Anshik (Partial),Optional,Vegan,Nuclear Family
Vijay,Tiwari,Male,2003-03-06,India,Bengaluru,6ft 9in,vijay.tiwari20@gmail.com,+91 89971 60140,XLRI Jamshedpur,B.A. English,₹37 LPA,Adobe India,Business Analyst,Never Married,"English, Marathi, Malayalam",3,Christianity,Protestant,Yes,No,No,Yes,Necessary,Vegan,Joint Family
Nidhi,Choudhury,Female,1995-04-13,India,Ahmedabad,5ft 4in,nidhi.choudhury23@gmail.com,+91 77772 59986,FMS Delhi,MBA Marketing,₹42 LPA,Reliance Industries,Assistant Manager,Never Married,"English, Malayalam, Gujarati",2,Hinduism,Brahmin,Maybe,Maybe,No,Anshik (Partial),Necessary,Jain Diet,Joint Family
Deepak,Patel,Male,2001-12-25,India,Bengaluru,5ft 9in,deepak.patel90@gmail.com,+91 73183 92242,IIT Delhi,BCA,₹34 LPA,Infosys,Investment Banker,Never Married,"English, Bengali",2,Christianity,Protestant,No,Yes,Yes,Yes,Not Important,Eggetarian,Joint Family
Dev,Pandey,Male,1996-02-15,India,Delhi,6ft 4in,dev.pandey28@gmail.com,+91 94712 39571,Christ University,LL.B,₹29 LPA,Wipro,Systems Engineer,Never Married,"English, Kannada",3,Christianity,Protestant,Maybe,Maybe,No,Don't Know,Not Important,Eggetarian,Nuclear Family
Amit,Mittal,Male,1999-06-20,India,Hyderabad,5ft 9in,amit.mittal92@gmail.com,+91 72071 93283,NMIMS,BCA,₹32 LPA,Cognizant,Business Analyst,Never Married,"English, Marathi, Hindi",3,Hinduism,Kshatriya,Yes,Maybe,Yes,Don't Know,Optional,Eggetarian,Joint Family
Yash,Sen,Male,1997-05-02,India,Kolkata,5ft 7in,yash.sen37@gmail.com,+91 84528 68287,Anna University,MBA Marketing,₹12 LPA,ICICI Bank,Technical Architect,Never Married,"English, Tamil, Malayalam",0,Sikhism,Khatri,Yes,Yes,No,No,Not Important,Non-Vegetarian,Nuclear Family
Siddharth,Bansal,Male,2000-04-03,India,Jaipur,5ft 2in,siddharth.bansal36@gmail.com,+91 89214 38305,Anna University,MBA Finance,₹15 LPA,Zomato,Software Engineer,Never Married,"English, Bengali",2,Islam,Sunni,Maybe,Yes,Yes,No,Optional,Non-Vegetarian,Joint Family
Sai,Singh,Male,2002-07-17,India,Delhi,6ft 0in,sai.singh18@gmail.com,+91 85605 68756,Loyola College,BDS,₹43 LPA,Cognizant,Chartered Accountant,Never Married,"English, Hindi, Odia",2,Sikhism,Arora,Yes,Yes,No,Don't Know,Optional,Vegetarian,Joint Family
Ananya,Sen,Female,1993-02-05,India,Chennai,5ft 5in,ananya.sen89@gmail.com,+91 90744 86724,IIM Calcutta,MBA Finance,₹30 LPA,Zomato,UI/UX Designer,Never Married,"English, Kannada, Odia",3,Hinduism,Kshatriya,Maybe,Maybe,Maybe,Yes,Optional,Vegan,Nuclear Family
Kriti,Rao,Female,2002-02-11,India,Pune,5ft 6in,kriti.rao50@gmail.com,+91 91794 43408,Loyola College,B.Sc Physics,₹36 LPA,Wipro,Product Manager,Never Married,"English, Gujarati",0,Christianity,Roman Catholic,Maybe,Yes,Maybe,Anshik (Partial),Not Important,Vegetarian,Joint Family
Pallavi,Reddy,Female,2000-05-12,India,Delhi,5ft 0in,pallavi.reddy83@gmail.com,+91 86626 37884,Delhi Technological University,MBBS,₹20 LPA,Cognizant,Marketing Executive,Never Married,"English, Tamil",2,Jainism,Digambar,No,Maybe,Maybe,No,Not Important,Eggetarian,Nuclear Family
Atharv,Iyer,Male,1991-03-28,India,Bengaluru,6ft 5in,atharv.iyer82@gmail.com,+91 91539 62531,IIT Madras,B.Sc Physics,₹7 LPA,Wipro,UI/UX Designer,Never Married,"English, Urdu, Gujarati",2,Islam,Shia,No,Maybe,No,No,Necessary,Non-Vegetarian,Nuclear Family
Ashish,Choudhury,Male,2001-07-16,India,Lucknow,5ft 4in,ashish.choudhury66@gmail.com,+91 83571 45804,Vellore Institute of Technology,BDS,₹13 LPA,ICICI Bank,Operations Manager,Never Married,"English, Malayalam",3,Jainism,Shvetambar,Yes,Yes,No,No,Necessary,Non-Vegetarian,Joint Family
Akash,Reddy,Male,1996-02-01,India,Ahmedabad,5ft 4in,akash.reddy65@gmail.com,+91 75757 26932,Christ University,LL.B,₹20 LPA,Tata Motors,Technical Architect,Never Married,"English, Tamil",3,Hinduism,Baniya,Yes,No,Yes,Anshik (Partial),Not Important,Vegan,Joint Family
Swati,Sharma,Female,1996-03-26,India,Lucknow,5ft 6in,swati.sharma68@gmail.com,+91 97263 57428,IIT Madras,MCA,₹12 LPA,Amazon India,Operations Manager,Never Married,"English, Kannada",3,Christianity,Protestant,No,Yes,No,Yes,Necessary,Jain Diet,Nuclear Family
Akash,Pandey,Male,2001-03-08,India,Delhi,6ft 5in,akash.pandey28@gmail.com,+91 78387 35856,SRM University,Ph.D. Biotechnology,₹15 LPA,Wipro,Financial Analyst,Awaiting Divorce,"English, Odia, Urdu",3,Jainism,Shvetambar,Maybe,No,Yes,Don't Know,Necessary,Vegan,Joint Family
Megha,Banerjee,Female,1992-05-15,India,Ahmedabad,5ft 5in,megha.banerjee14@gmail.com,+91 71864 58331,St. Xavier's College,B.Tech Electrical Engineering,₹11 LPA,Zomato,Research Scientist,Never Married,"English, Odia, Urdu",0,Sikhism,Arora,Maybe,Yes,No,Don't Know,Not Important,Non-Vegetarian,Nuclear Family
Kavya,Banerjee,Female,2001-03-02,India,Hyderabad,5ft 1in,kavya.banerjee66@gmail.com,+91 84398 78690,IIM Bangalore,Ph.D. Biotechnology,₹16 LPA,ICICI Bank,Marketing Executive,Never Married,"English, Gujarati",2,Jainism,Digambar,Maybe,Maybe,No,No,Optional,Vegetarian,Joint Family
Aarti,Gupta,Female,2000-11-05,India,Kolkata,5ft 5in,aarti.gupta49@gmail.com,+91 91497 96787,Christ University,B.Sc Physics,₹44 LPA,Wipro,Assistant Manager,Never Married,"English, Tamil, Malayalam",1,Jainism,Digambar,Maybe,Maybe,No,Anshik (Partial),Necessary,Eggetarian,Joint Family
Krishna,Mehta,Male,1994-03-05,India,Delhi,6ft 7in,krishna.mehta47@gmail.com,+91 97670 23256,IIM Bangalore,LL.B,₹39 LPA,Infosys,HR Manager,Never Married,"English, Bengali, Odia",3,Islam,Sunni,Yes,Maybe,Maybe,Yes,Not Important,Vegan,Nuclear Family
Tanvi,Sen,Female,1995-12-26,India,Ahmedabad,5ft 7in,tanvi.sen39@gmail.com,+91 87498 41348,St. Xavier's College,MBBS,₹18 LPA,ICICI Bank,Investment Banker,Awaiting Divorce,"English, Marathi, Gujarati",3,Islam,Sunni,Maybe,Yes,No,No,Not Important,Vegan,Joint Family
Nitin,Gupta,Male,2003-03-09,India,Ahmedabad,5ft 4in,nitin.gupta75@gmail.com,+91 74828 67340,IIT Madras,B.A. English,₹34 LPA,ICICI Bank,Software Engineer,Never Married,"English, Kannada, Gujarati",2,Islam,Shia,Yes,No,Yes,No,Optional,Vegetarian,Joint Family
Ishaan,Jain,Male,1998-12-27,India,Bengaluru,5ft 4in,ishaan.jain70@gmail.com,+91 84699 90654,IIT Bombay,B.Tech Electrical Engineering,₹7 LPA,Flipkart,Consultant,Never Married,"English, Kannada, Punjabi",3,Hinduism,Maratha,Yes,No,Yes,No,Necessary,Vegan,Joint Family
Kabir,Chatterjee,Male,1991-11-17,India,Lucknow,6ft 9in,kabir.chatterjee40@gmail.com,+91 93545 28818,St. Xavier's College,MCA,₹6 LPA,Zomato,Marketing Executive,Never Married,"English, Bengali, Gujarati",0,Jainism,Shvetambar,Yes,Maybe,Maybe,No,Optional,Vegan,Nuclear Family
Tanvi,Iyer,Female,2003-02-12,India,Hyderabad,5ft 0in,tanvi.iyer94@gmail.com,+91 90586 23587,FMS Delhi,MBA Finance,₹14 LPA,Infosys,Marketing Executive,Never Married,"English, Bengali, Malayalam",3,Sikhism,Arora,Yes,Yes,Yes,Don't Know,Necessary,Eggetarian,Nuclear Family
Aryan,Jain,Male,1995-09-13,India,Jaipur,5ft 5in,aryan.jain70@gmail.com,+91 78300 14799,Vellore Institute of Technology,BCA,₹28 LPA,Infosys,HR Manager,Never Married,"English, Tamil, Gujarati",3,Sikhism,Khatri,No,Yes,No,Don't Know,Optional,Jain Diet,Joint Family
Vivek,Rao,Male,2000-03-18,India,Chennai,6ft 1in,vivek.rao51@gmail.com,+91 73361 20494,Lady Shri Ram College,BCA,₹25 LPA,EY,Research Scientist,Never Married,"English, Bengali, Punjabi",3,Christianity,Syrian Christian,Yes,Maybe,No,Don't Know,Optional,Vegetarian,Nuclear Family
Tanvi,Singh,Female,2000-11-26,India,Ahmedabad,5ft 0in,tanvi.singh14@gmail.com,+91 74136 18812,Anna University,MBA Marketing,₹29 LPA,Deloitte,Investment Banker,Never Married,"English, Bengali, Malayalam",3,Christianity,Syrian Christian,No,Yes,Maybe,Yes,Not Important,Eggetarian,Joint Family
Aditi,Kumar,Female,1991-12-06,India,Ahmedabad,5ft 3in,aditi.kumar76@gmail.com,+91 82680 83619,BITS Pilani,BBA,₹22 LPA,EY,Consultant,Awaiting Divorce,"English, Urdu, Punjabi",1,Hinduism,Vaishya,Yes,No,Yes,Don't Know,Necessary,Eggetarian,Joint Family
Rajesh,Goel,Male,1993-12-23,India,Bengaluru,6ft 4in,rajesh.goel56@gmail.com,+91 86670 39391,BITS Pilani,B.A. Economics,₹14 LPA,Amazon India,Resident Medical Officer,Never Married,"English, Kannada, Odia",2,Sikhism,Arora,Yes,Maybe,Yes,No,Optional,Vegan,Joint Family
Meera,Gupta,Female,1993-06-21,India,Delhi,5ft 9in,meera.gupta67@gmail.com,+91 85264 99143,IIM Bangalore,MBA Marketing,₹14 LPA,L&T,Investment Banker,Never Married,"English, Bengali, Gujarati",0,Hinduism,Nair,Yes,No,Yes,Yes,Optional,Non-Vegetarian,Joint Family
Riya,Mishra,Female,1999-05-05,India,Chennai,5ft 3in,riya.mishra88@gmail.com,+91 87481 22245,IIM Bangalore,B.Sc Mathematics,₹43 LPA,Adobe India,Business Analyst,Never Married,"English, Odia, Punjabi",2,Jainism,Digambar,Yes,Yes,Yes,Anshik (Partial),Not Important,Non-Vegetarian,Joint Family
Sanjay,Reddy,Male,1998-04-26,India,Pune,6ft 10in,sanjay.reddy48@gmail.com,+91 84861 19564,IIT Delhi,B.Sc Mathematics,₹34 LPA,KPMG,Resident Medical Officer,Never Married,"English, Odia, Tamil",1,Christianity,Protestant,No,Maybe,No,Don't Know,Necessary,Eggetarian,Nuclear Family
Neha,Patel,Female,1998-04-05,India,Delhi,5ft 1in,neha.patel16@gmail.com,+91 79509 60351,XLRI Jamshedpur,MCA,₹21 LPA,Google India,HR Manager,Awaiting Divorce,"English, Bengali, Telugu",3,Jainism,Shvetambar,No,No,No,No,Necessary,Vegan,Joint Family
Krishna,Verma,Male,1995-08-20,India,Ahmedabad,6ft 0in,krishna.verma46@gmail.com,+91 87586 11071,BITS Pilani,MCA,₹14 LPA,Flipkart,Marketing Executive,Never Married,"English, Hindi, Tamil",3,Hinduism,Nair,Yes,No,Maybe,Anshik (Partial),Necessary,Vegan,Joint Family
Richa,Kumar,Female,1997-06-26,India,Kolkata,5ft 2in,richa.kumar81@gmail.com,+91 81980 28909,Vellore Institute of Technology,Ph.D. Biotechnology,₹38 LPA,Deloitte,UI/UX Designer,Never Married,"English, Bengali, Hindi",2,Sikhism,Arora,No,Yes,Maybe,Yes,Optional,Jain Diet,Joint Family
Karan,Nair,Male,1999-09-18,India,Ahmedabad,6ft 9in,karan.nair82@gmail.com,+91 79823 72245,IIT Bombay,MBA Marketing,₹27 LPA,Cognizant,Operations Manager,Never Married,"English, Punjabi",0,Jainism,Shvetambar,No,Maybe,Maybe,Yes,Not Important,Vegetarian,Joint Family
Vijay,Garg,Male,2001-04-02,India,Lucknow,6ft 2in,vijay.garg99@gmail.com,+91 73601 35006,IIT Bombay,M.Sc Statistics,₹26 LPA,KPMG,Business Analyst,Never Married,"English, Telugu, Gujarati",3,Hinduism,Vaishya,Maybe,Yes,Maybe,Anshik (Partial),Not Important,Vegan,Joint Family
Anika,Nair,Female,1999-06-22,India,Chennai,5ft 8in,anika.nair88@gmail.com,+91 85865 35200,Anna University,BBA,₹41 LPA,Reliance Industries,Senior Consultant,Awaiting Divorce,"English, Marathi, Punjabi",1,Sikhism,Khatri,No,No,Maybe,Anshik (Partial),Optional,Vegetarian,Joint Family
Shreya,Verma,Female,1995-12-03,India,Kolkata,5ft 4in,shreya.verma66@gmail.com,+91 91494 43612,IIM Ahmedabad,B.A. Economics,₹18 LPA,L&T,Project Manager,Awaiting Divorce,"English, Bengali",1,Islam,Sunni,Maybe,Maybe,Yes,Yes,Necessary,Vegetarian,Joint Family
Priyanka,Tiwari,Female,2003-03-01,India,Jaipur,5ft 1in,priyanka.tiwari30@gmail.com,+91 83333 95575,IIM Ahmedabad,MBBS,₹18 LPA,Reliance Industries,HR Manager,Never Married,"English, Hindi",1,Jainism,Digambar,Yes,No,Yes,No,Optional,Vegan,Nuclear Family
Diya,Mukherjee,Female,2000-02-11,India,Chennai,5ft 4in,diya.mukherjee68@gmail.com,+91 91014 81211,IIM Bangalore,MBBS,₹14 LPA,Tata Motors,Chartered Accountant,Never Married,"English, Tamil",1,Sikhism,Arora,No,Maybe,Yes,No,Not Important,Eggetarian,Joint Family
Sai,Banerjee,Male,1996-02-13,India,Delhi,6ft 6in,sai.banerjee33@gmail.com,+91 74607 72580,Lady Shri Ram College,B.A. English,₹6 LPA,Flipkart,Systems Engineer,Never Married,"English, Marathi, Tamil",2,Jainism,Digambar,No,Maybe,No,Yes,Necessary,Vegetarian,Joint Family
Myra,Jain,Female,2002-05-23,India,Delhi,5ft 8in,myra.jain91@gmail.com,+91 79667 58174,XLRI Jamshedpur,B.A. English,₹20 LPA,Accenture,Resident Medical Officer,Never Married,"English, Odia, Punjabi",2,Sikhism,Arora,Maybe,No,Maybe,Yes,Necessary,Jain Diet,Nuclear Family
Shalini,Jain,Female,2000-02-02,India,Jaipur,5ft 1in,shalini.jain74@gmail.com,+91 76624 85065,IIM Calcutta,B.Sc Physics,₹16 LPA,HDFC Bank,UI/UX Designer,Never Married,"English, Telugu, Malayalam",3,Hinduism,Nair,No,Yes,No,Yes,Not Important,Vegan,Joint Family
Rajesh,Bansal,Male,1995-12-01,India,Pune,6ft 10in,rajesh.bansal42@gmail.com,+91 96753 10395,Vellore Institute of Technology,C.A. (Chartered Accountant),₹10 LPA,Infosys,Operations Manager,Never Married,"English, Kannada",0,Hinduism,Reddy,Yes,No,No,Yes,Necessary,Vegan,Joint Family
